Height       Average Height    \# of
of Father       of Son        Fathers
62                65.5           2
63                66.5           6
64                66.8           12
65                66.8           19
66                67.6           27
67                67.8           26
68                68.6           26
69                69.1           26
70                69.5           20
71                70.6           15
72                70.3           8
73                72.0           5

