ACC      WHP        SP       G
8.0      20.5      7.5       0
5.0      20.5      22.5      0
5.0      20.5      30.0      0
4.0      20.5      40.0      0
3.0      20.5      50.0      0
2.0      20.5      60.0      0
7.8      20.5      7.5       2
4.6      20.5      22.5      2
4.2      20.5      35.0      2
3.4      20.5      45.0      2
2.4      20.5      55.0      2
6.7      20.5      7.5       6
3.7      20.5      22.5      6
3.4      20.5      35.0      6
2.5      20.5      45.0      6
1.5      20.5      55.0      6
8.0      40.0      7.5       0
5.0      40.0      22.5      0
2.0      40.0      30.0      0
1.8      40.0      40.0      0
1.5      40.0      50.0      0
0.7      40.0      60.0      0
7.8      40.0      7.5       2
4.6      40.0      22.5      2
1.6      40.0      35.0      2
1.4      40.0      45.0      2
1.0      40.0      55.0      2
6.7      40.0      7.5       6
3.7      40.0      22.5      6
0.7      40.0      35.0      6
0.5      40.0      45.0      6
0.2      40.0      55.0      6
2.0      84.5      7.5       0
1.0      84.5      22.5      0
1.0      84.5      30.0      0
0.6      84.5      40.0      0
0.2      84.5      50.0      0
1.6      84.5      7.5       2
0.6      84.5      22.5      2
0.6      84.5      35.0      2
0.2      84.5      45.0      2
0.7      84.5      7.5       6
2.0      257.0     7.5       0
1.0      257.0     22.5      0
0.8      257.0     30.0      0
0.4      257.0     40.0      0
1.6      257.0     7.5       2
0.6      257.0     22.5      2
0.3      257.0     35.0      2
0.7      257.0     7.50      6

