County  P   y1981  y1982 
LeSueur 51  1495    1719
LeSueur 54  1222    1405
LeSueur 55  1200    1380
LeSueur 57  1254    1442
LeSueur 63  1358    1562
LeSueur 67  1416    1628
LeSueur 69  1428    1642
LeSueur 71  1146    1318
LeSueur 75  1347    1549
LeSueur 75  1474    1695
LeSueur 78  1382    1589
LeSueur 78  1392    1602
LeSueur 80  1441    1659
Sibley  75  1652    1982
Sibley  78  1544    1865
Sibley  81  1536    1843
Sibley  83  1541    1849
Sibley  84  1570    1884
Sibley  85  1554    1865
Sibley  85  1601    1921
Sibley  87  1587    1904
Sibley  89  1435    1722
Sibley  89  1676    2011
Sibley  90  1599    1919
Sibley  90  1647    1976
Sibley  92  1643    1972
Sibley  93  1656    1987
Sibley  94  1592    1919
Sibley  94  1619    1943
McLeod  71  1524    1752
McLeod  73  1448    1665
McLeod  76  1483    1705
McLeod  76  1489    1712
McLeod  77  1489    1712
McLeod  78  1465    1685
McLeod  79  1427    1641
McLeod  79  1493    1717
McLeod  79  1497    1721
McLeod  79  1455    1673
McLeod  79  1496    1720
McLeod  82  1449    1666
McLeod  83  1481    1703
McLeod  84  1419    1632
Meeker  31  1047    1548
Meeker  32  814 895
Meeker  35  1143    1257
Meeker  35  1263    1389
Meeker  35  1318    1450
Meeker  37  995 1095
Meeker  38  1286    1415
Meeker  40  1000    1100
Meeker  44  1036    1140
Meeker  45  1251    1376
Meeker  55  1308    1439
Meeker  56  1059    1165
Meeker  60  1413    1554
Meeker  68  1309    1440
Meeker  73  1404    1544
Meeker  75  1282    1410
Meeker  79  1450    1595
